algorithm_name,size,ce=0.3,ce=0.6,ce=0.9
simulated_annealing,100,80.0,107.0,116.0
simulated_annealing,100,80.0,107.0,116.0
simulated_annealing,100,80.0,107.0,116.0
simulated_annealing,100,80.0,107.0,116.0
simulated_annealing,100,80.0,107.0,116.0
simulated_annealing,100,80.0,107.0,116.0
simulated_annealing,100,80.0,107.0,116.0
simulated_annealing,100,80.0,107.0,116.0
simulated_annealing,100,80.0,107.0,116.0
simulated_annealing,100,80.0,107.0,116.0
simulated_annealing,100,80.0,107.0,116.0
simulated_annealing,100,80.0,107.0,116.0
simulated_annealing,100,80.0,107.0,116.0
simulated_annealing,100,80.0,107.0,116.0
simulated_annealing,100,80.0,107.0,116.0
simulated_annealing,100,80.0,107.0,116.0
simulated_annealing,100,80.0,107.0,116.0
simulated_annealing,100,80.0,107.0,116.0
simulated_annealing,100,80.0,107.0,116.0
simulated_annealing,100,80.0,107.0,116.0
simulated_annealing,100,80.0,107.0,116.0
simulated_annealing,100,80.0,107.0,116.0
simulated_annealing,100,80.0,107.0,116.0
simulated_annealing,100,80.0,107.0,116.0
simulated_annealing,100,81.0,108.0,117.0
simulated_annealing,100,81.0,108.0,117.0
simulated_annealing,100,81.0,108.0,117.0
simulated_annealing,100,81.0,108.0,117.0
simulated_annealing,100,81.0,108.0,117.0
simulated_annealing,100,81.0,108.0,117.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,109.0,118.0
simulated_annealing,100,82.0,110.0,119.0
simulated_annealing,100,82.0,110.0,119.0
simulated_annealing,100,82.0,110.0,119.0
simulated_annealing,100,82.0,110.0,119.0
simulated_annealing,100,83.0,111.0,120.0
simulated_annealing,100,83.0,111.0,120.0
simulated_annealing,100,83.0,111.0,120.0
simulated_annealing,100,83.0,111.0,120.0
simulated_annealing,100,83.0,111.0,120.0
simulated_annealing,100,83.0,111.0,120.0
simulated_annealing,100,83.0,111.0,120.0
simulated_annealing,100,83.0,111.0,120.0
simulated_annealing,100,83.0,111.0,120.0
simulated_annealing,100,83.0,111.0,120.0
simulated_annealing,100,83.0,111.0,120.0
simulated_annealing,100,83.0,111.0,120.0
simulated_annealing,100,83.0,111.0,120.0
simulated_annealing,100,83.0,111.0,120.0
simulated_annealing,100,83.0,111.0,120.0
simulated_annealing,100,83.0,111.0,120.0
simulated_annealing,100,83.0,111.0,120.0
simulated_annealing,100,83.0,111.0,120.0
simulated_annealing,100,83.0,111.0,120.0
simulated_annealing,100,83.0,111.0,120.0
simulated_annealing,100,83.0,111.0,120.0
simulated_annealing,100,84.0,112.0,121.0
simulated_annealing,100,84.0,112.0,121.0
simulated_annealing,100,84.0,112.0,121.0
simulated_annealing,100,84.0,112.0,121.0
simulated_annealing,100,84.0,112.0,121.0
simulated_annealing,100,84.0,112.0,121.0
simulated_annealing,100,84.0,112.0,121.0
simulated_annealing,100,84.0,112.0,121.0
simulated_annealing,100,84.0,112.0,121.0
simulated_annealing,100,84.0,112.0,121.0
simulated_annealing,100,84.0,112.0,121.0
simulated_annealing,100,84.0,112.0,121.0
simulated_annealing,100,84.0,112.0,121.0
simulated_annealing,100,84.0,112.0,121.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,84.0,112.0,122.0
simulated_annealing,100,85.0,113.0,123.0
simulated_annealing,100,85.0,113.0,123.0
simulated_annealing,100,85.0,113.0,123.0
simulated_annealing,100,85.0,113.0,123.0
simulated_annealing,100,85.0,113.0,123.0
simulated_annealing,100,85.0,113.0,123.0
simulated_annealing,100,85.0,113.0,123.0
simulated_annealing,100,85.0,113.0,123.0
simulated_annealing,100,85.0,113.0,123.0
simulated_annealing,100,85.0,113.0,123.0
simulated_annealing,100,85.0,113.0,123.0
simulated_annealing,100,85.0,113.0,123.0
simulated_annealing,100,85.0,113.0,123.0
simulated_annealing,100,85.0,113.0,123.0
simulated_annealing,100,85.0,113.0,123.0
simulated_annealing,100,85.0,113.0,123.0
simulated_annealing,100,85.0,113.0,123.0
simulated_annealing,100,85.0,113.0,123.0
simulated_annealing,100,85.0,113.0,123.0
simulated_annealing,100,85.0,113.0,123.0
simulated_annealing,100,85.0,113.0,123.0
simulated_annealing,100,85.0,113.0,123.0
simulated_annealing,100,85.0,113.0,123.0
simulated_annealing,100,85.0,113.0,123.0
simulated_annealing,100,85.0,113.0,123.0
simulated_annealing,100,85.0,113.0,123.0
simulated_annealing,100,85.0,113.0,123.0
simulated_annealing,100,85.0,113.0,123.0
simulated_annealing,100,85.0,113.0,123.0
simulated_annealing,100,85.0,113.0,123.0
simulated_annealing,100,85.0,113.0,123.0
simulated_annealing,100,85.0,113.0,123.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
simulated_annealing,100,86.0,114.0,124.0
