algorithm_name,size,mutation_probs=0.3,mutation_probs=0.6,mutation_probs=0.9
genetic_algorithm,100,78.0,124.0,141.0
genetic_algorithm,100,78.0,124.0,141.0
genetic_algorithm,100,78.0,124.0,141.0
genetic_algorithm,100,78.0,124.0,141.0
genetic_algorithm,100,78.0,124.0,141.0
genetic_algorithm,100,78.0,124.0,141.0
genetic_algorithm,100,78.0,125.0,142.0
genetic_algorithm,100,78.0,125.0,142.0
genetic_algorithm,100,78.0,125.0,142.0
genetic_algorithm,100,78.0,125.0,142.0
genetic_algorithm,100,78.0,125.0,142.0
genetic_algorithm,100,78.0,126.0,142.0
genetic_algorithm,100,78.0,126.0,142.0
genetic_algorithm,100,78.0,126.0,142.0
genetic_algorithm,100,78.0,126.0,142.0
genetic_algorithm,100,78.0,126.0,142.0
genetic_algorithm,100,78.0,126.0,142.0
genetic_algorithm,100,78.0,126.0,142.0
genetic_algorithm,100,78.0,126.0,142.0
genetic_algorithm,100,78.0,126.0,142.0
genetic_algorithm,100,78.0,126.0,142.0
genetic_algorithm,100,78.0,126.0,142.0
genetic_algorithm,100,79.0,126.0,142.0
genetic_algorithm,100,79.0,126.0,142.0
genetic_algorithm,100,80.0,127.0,142.0
genetic_algorithm,100,80.0,127.0,142.0
genetic_algorithm,100,80.0,127.0,142.0
genetic_algorithm,100,80.0,127.0,142.0
genetic_algorithm,100,80.0,127.0,142.0
genetic_algorithm,100,80.0,127.0,142.0
genetic_algorithm,100,80.0,127.0,142.0
genetic_algorithm,100,80.0,127.0,142.0
genetic_algorithm,100,80.0,127.0,142.0
genetic_algorithm,100,80.0,127.0,142.0
genetic_algorithm,100,80.0,127.0,142.0
genetic_algorithm,100,80.0,127.0,142.0
genetic_algorithm,100,80.0,127.0,142.0
genetic_algorithm,100,80.0,127.0,142.0
genetic_algorithm,100,81.0,127.0,142.0
genetic_algorithm,100,81.0,127.0,142.0
genetic_algorithm,100,81.0,127.0,142.0
genetic_algorithm,100,81.0,127.0,142.0
genetic_algorithm,100,81.0,127.0,142.0
genetic_algorithm,100,81.0,127.0,142.0
genetic_algorithm,100,81.0,127.0,142.0
genetic_algorithm,100,81.0,127.0,142.0
genetic_algorithm,100,81.0,127.0,142.0
genetic_algorithm,100,82.0,127.0,142.0
genetic_algorithm,100,82.0,127.0,142.0
genetic_algorithm,100,82.0,127.0,142.0
genetic_algorithm,100,82.0,127.0,142.0
genetic_algorithm,100,82.0,127.0,142.0
genetic_algorithm,100,82.0,127.0,142.0
genetic_algorithm,100,82.0,127.0,142.0
genetic_algorithm,100,82.0,127.0,142.0
genetic_algorithm,100,82.0,127.0,142.0
genetic_algorithm,100,82.0,127.0,142.0
genetic_algorithm,100,82.0,127.0,142.0
genetic_algorithm,100,82.0,127.0,142.0
genetic_algorithm,100,82.0,127.0,142.0
genetic_algorithm,100,82.0,127.0,142.0
genetic_algorithm,100,82.0,127.0,142.0
genetic_algorithm,100,82.0,127.0,142.0
genetic_algorithm,100,82.0,127.0,142.0
genetic_algorithm,100,82.0,127.0,142.0
genetic_algorithm,100,82.0,127.0,142.0
genetic_algorithm,100,82.0,127.0,142.0
genetic_algorithm,100,82.0,127.0,142.0
genetic_algorithm,100,83.0,128.0,143.0
genetic_algorithm,100,83.0,128.0,143.0
genetic_algorithm,100,84.0,128.0,143.0
